seed,configuration,search_mode,iterations,regime_length,episode,regime,external_energy,internal_energy,reference_energy,absolute_gap,kappa_norm,context_similarity,reconfig_cost
42,Static Energy,guided_sa,2,8,0,0,1.6487822532653809,1.6487822532653809,1.5419760942459106,0.10680615901947021,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,1,0,1.8656033277511597,1.8656033277511597,1.5419760942459106,0.323627233505249,0.0,1.0,2.0
42,Static Energy,guided_sa,2,8,2,0,2.0245652198791504,2.0245652198791504,1.5419760942459106,0.48258912563323975,0.0,1.0,1.0
42,Static Energy,guided_sa,2,8,3,0,2.0245652198791504,2.0245652198791504,1.5419760942459106,0.48258912563323975,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,4,0,2.0245652198791504,2.0245652198791504,1.5419760942459106,0.48258912563323975,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,5,0,2.0245652198791504,2.0245652198791504,1.5419760942459106,0.48258912563323975,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,6,0,2.0245652198791504,2.0245652198791504,1.5419760942459106,0.48258912563323975,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,7,0,2.0245652198791504,2.0245652198791504,1.5419760942459106,0.48258912563323975,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,8,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,9,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,10,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,11,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,12,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,13,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,14,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,Static Energy,guided_sa,2,8,15,1,1.7462897300720215,1.7462897300720215,1.084540843963623,0.6617488861083984,0.0,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,0,0,1.6487822532653809,1.647072434425354,1.5419760942459106,0.10680615901947021,0.0945279449224472,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,1,0,1.8656033277511597,1.8643711805343628,1.5419760942459106,0.323627233505249,0.16832970082759857,1.0,2.0
42,EBMAO (kappa-only),guided_sa,2,8,2,0,2.0245652198791504,2.023211717605591,1.5419760942459106,0.48258912563323975,0.24302221834659576,1.0,1.0
42,EBMAO (kappa-only),guided_sa,2,8,3,0,2.0245652198791504,2.022972583770752,1.5419760942459106,0.48258912563323975,0.3171675503253937,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,4,0,2.0245652198791504,2.0227508544921875,1.5419760942459106,0.48258912563323975,0.3868904709815979,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,5,0,2.0245652198791504,2.0225439071655273,1.5419760942459106,0.48258912563323975,0.451396107673645,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,6,0,2.0245652198791504,2.022350311279297,1.5419760942459106,0.48258912563323975,0.510692834854126,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,7,0,2.0245652198791504,2.0221688747406006,1.5419760942459106,0.48258912563323975,0.5650399327278137,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,8,1,1.7462897300720215,1.7391693592071533,1.084540843963623,0.6617488861083984,0.4605782628059387,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,9,1,1.7462897300720215,1.7378826141357422,1.084540843963623,0.6617488861083984,0.37505561113357544,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,10,1,1.7462897300720215,1.7367185354232788,1.084540843963623,0.6617488861083984,0.3108711838722229,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,11,1,1.7462897300720215,1.735663890838623,1.084540843963623,0.6617488861083984,0.2712157368659973,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,12,1,1.262772560119629,1.2529327869415283,1.084540843963623,0.17823171615600586,0.256706178188324,1.0,1.0
42,EBMAO (kappa-only),guided_sa,2,8,13,1,1.142337679862976,1.1202921867370605,1.084540843963623,0.05779683589935303,0.24886198341846466,1.0,2.0
42,EBMAO (kappa-only),guided_sa,2,8,14,1,1.142337679862976,1.117809534072876,1.084540843963623,0.05779683589935303,0.260632187128067,1.0,0.0
42,EBMAO (kappa-only),guided_sa,2,8,15,1,1.142337679862976,1.1155872344970703,1.084540843963623,0.05779683589935303,0.2842940390110016,1.0,0.0
42,EBMAO (theta-only),guided_sa,2,8,0,0,1.6487822532653809,1.6696288585662842,1.5419760942459106,0.10680615901947021,0.0,1.0,0.0
42,EBMAO (theta-only),guided_sa,2,8,1,0,1.8656033277511597,1.8634380102157593,1.5419760942459106,0.323627233505249,0.0,1.0,2.0
42,EBMAO (theta-only),guided_sa,2,8,2,0,2.0245652198791504,2.0220956802368164,1.5419760942459106,0.48258912563323975,0.0,1.0,1.0
42,EBMAO (theta-only),guided_sa,2,8,3,0,1.7957606315612793,1.79445219039917,1.5419760942459106,0.25378453731536865,0.0,1.0,2.0
42,EBMAO (theta-only),guided_sa,2,8,4,0,2.286032199859619,2.3180222511291504,1.5419760942459106,0.7440561056137085,0.0,1.0,2.0
42,EBMAO (theta-only),guided_sa,2,8,5,0,1.667629599571228,1.7088149785995483,1.5419760942459106,0.12565350532531738,0.0,1.0,2.0
42,EBMAO (theta-only),guided_sa,2,8,6,0,1.7733397483825684,1.8120023012161255,1.5419760942459106,0.23136365413665771,0.0,1.0,2.0
42,EBMAO (theta-only),guided_sa,2,8,7,0,1.9914305210113525,1.9908026456832886,1.5419760942459106,0.4494544267654419,0.0,1.0,2.0
