perf_drop,recovery_time,cum_regret,convergence,stability,Scenario,Configuration
0.7872781753540039,1.0,6.728830933570862,0.24687659570231313,6.8,Capability Drift,Static Energy
0.759636640548706,1.0,6.688618898391724,0.23505776042985402,6.7,Capability Drift,EBMAO (kappa-only)
0.7872781753540039,1.0,6.750009775161741,0.24676535190199375,6.7,Capability Drift,EBMAO (theta-only)
0.7872781753540039,1.0,6.756751298904419,0.23753936251934699,7.2,Capability Drift,Full EBMAO
2.2947998046875,25.0,46.18575596809387,0.7797643330822799,4.5,Task Shift,Static Energy
2.2947998046875,25.0,46.32875061035156,0.7789969382861132,4.5,Task Shift,EBMAO (kappa-only)
2.2947998046875,25.0,46.3069565296173,0.7808141153337442,4.8,Task Shift,EBMAO (theta-only)
2.2947998046875,25.0,46.324745178222656,0.7803297371764054,4.6,Task Shift,Full EBMAO
0.7896311283111572,3.0,6.6185783505439755,0.22142624743420294,6.9,Dependency Change,Static Energy
0.7896311283111572,1.0,6.377736568450928,0.21698741306358313,7.1,Dependency Change,EBMAO (kappa-only)
0.7748298645019531,1.0,6.404411077499391,0.2335082055028721,7.0,Dependency Change,EBMAO (theta-only)
0.7748298645019531,1.0,6.025205063819887,0.22982564428703856,6.9,Dependency Change,Full EBMAO
0.9892661571502686,1.0,7.44182438850403,0.20630479362046403,5.5,Robustness,Static Energy
0.9350686073303223,1.0,7.199379563331606,0.19950829879662332,5.8,Robustness,EBMAO (kappa-only)
0.9892661571502686,1.0,7.44182438850403,0.20630479362046403,5.5,Robustness,EBMAO (theta-only)
0.9350686073303223,1.0,7.199379563331606,0.19950829879662332,5.8,Robustness,Full EBMAO
