seed,configuration,search_mode,iterations,memory_retention,theta_retention,regime_block,regime,mean_energy,final_energy,mean_kappa_norm,final_kappa_norm
43,Full EBMAO,guided_sa,3,1.0,1.0,2,0,1.0350578606128693,0.9392154216766357,3.253015065193176,2.935361385345459
43,Full EBMAO,guided_sa,3,1.0,1.0,3,1,1.381467592716217,1.286234974861145,3.4058143854141236,3.904839277267456
44,Static Energy,guided_sa,3,1.0,1.0,0,0,0.961630779504776,0.8874529600143433,0.0,0.0
44,Static Energy,guided_sa,3,1.0,1.0,1,1,1.3202044725418092,1.2068959474563599,0.0,0.0
44,Static Energy,guided_sa,3,1.0,1.0,2,0,0.9732315719127655,0.9419199228286743,0.0,0.0
44,Static Energy,guided_sa,3,1.0,1.0,3,1,1.122158932685852,0.927570104598999,0.0,0.0
44,EBMAO (kappa-only),guided_sa,3,1.0,1.0,0,0,0.965313071012497,0.9092031717300415,2.0263911485671997,2.97430157661438
44,EBMAO (kappa-only),guided_sa,3,1.0,1.0,1,1,1.1855089664459229,1.1671251058578491,3.194126033782959,3.8819994926452637
44,EBMAO (kappa-only),guided_sa,3,1.0,1.0,2,0,1.001257061958313,0.9989303350448608,3.2842116832733153,3.383859872817993
44,EBMAO (kappa-only),guided_sa,3,1.0,1.0,3,1,1.0768955945968628,0.9606820940971375,3.4307229280471803,3.8125767707824707
44,EBMAO (theta-only),guided_sa,3,1.0,1.0,0,0,0.961630779504776,0.8874529600143433,0.0,0.0
44,EBMAO (theta-only),guided_sa,3,1.0,1.0,1,1,1.3202044725418092,1.2068959474563599,0.0,0.0
44,EBMAO (theta-only),guided_sa,3,1.0,1.0,2,0,0.9732315719127655,0.9419199228286743,0.0,0.0
44,EBMAO (theta-only),guided_sa,3,1.0,1.0,3,1,1.122158932685852,0.927570104598999,0.0,0.0
44,Full EBMAO,guided_sa,3,1.0,1.0,0,0,0.965313071012497,0.9092031717300415,2.0263911485671997,2.97430157661438
44,Full EBMAO,guided_sa,3,1.0,1.0,1,1,1.1855089664459229,1.1671251058578491,3.194126033782959,3.8819994926452637
44,Full EBMAO,guided_sa,3,1.0,1.0,2,0,0.9922266244888306,0.9128662943840027,3.2787816762924193,3.3679444789886475
44,Full EBMAO,guided_sa,3,1.0,1.0,3,1,1.1236424922943116,1.138657569885254,3.24952917098999,3.3810946941375732
