episode,energy,load_balance,coordination,conflicts,specialization,task_clustering,communication_cost,conflict_rate,reconfig_cost,kappa_norm
0,1.5382964611053467,2.345207929611206,10.0,8.0,0.40630812644958497,0.3603323887362032,6.810758590698242,8.0,0.0,0.351993590593338
1,1.6176378726959229,1.8708287477493286,8.0,6.0,0.43282337188720704,0.3572502280917232,8.950389862060547,6.0,6.0,0.7197836637496948
2,1.6828347444534302,2.8284270763397217,16.0,8.0,0.4046322822570801,0.7283660418193204,2.4171366691589355,8.0,7.0,0.8241545557975769
3,1.9135631322860718,2.1213202476501465,14.0,2.0,0.269443154335022,0.38390166320232966,10.264290809631348,2.0,5.0,0.8032176494598389
4,1.0537914037704468,2.345207929611206,14.0,12.0,0.5223745822906494,0.3659989407370697,10.338385581970215,12.0,8.0,0.912002682685852
5,1.652337908744812,2.4494898319244385,8.0,6.0,0.3265498161315918,0.2809886815277625,9.740412712097168,6.0,6.0,0.9050058126449585
6,2.2357499599456787,1.5811388492584229,12.0,4.0,0.32067337036132815,0.40849921142427065,8.004645347595215,4.0,7.0,1.1096911430358887
7,2.199014902114868,2.4494898319244385,10.0,2.0,0.40654335021972654,0.43508038472591226,4.953080177307129,2.0,9.0,1.1207284927368164
8,2.1239473819732666,2.1213202476501465,6.0,10.0,0.3053863525390625,0.4360335034818203,4.823588848114014,10.0,7.0,1.0871690511703491
9,1.66621732711792,2.345207929611206,10.0,2.0,0.4257070064544678,0.5890833864076948,4.214813232421875,2.0,8.0,1.2483175992965698
10,2.0075387954711914,2.0,8.0,6.0,0.3271888256072998,0.3483561742954817,6.278372287750244,6.0,8.0,1.2771995067596436
11,2.102466583251953,1.2247449159622192,6.0,6.0,0.34957160949707033,0.13043388347419305,14.817148208618164,6.0,8.0,1.28488028049469
12,1.4455475807189941,1.4142135381698608,10.0,2.0,0.4397922992706299,0.40262869579182875,7.523695945739746,2.0,9.0,1.2991490364074707
13,2.4851255416870117,1.5811388492584229,10.0,0.0,0.25237083435058594,0.47946216343776876,5.930059432983398,0.0,9.0,1.3315019607543945
14,1.6310749053955078,2.1213202476501465,10.0,2.0,0.3933555603027344,0.2364023152755292,14.120383262634277,2.0,8.0,1.2055011987686157
15,1.4349477291107178,2.0,6.0,4.0,0.4631179332733154,0.20907862496924565,7.980151653289795,4.0,3.0,1.1505249738693237
16,1.4119338989257812,1.5811388492584229,6.0,4.0,0.47704648971557617,0.27193596641377044,9.600319862365723,4.0,8.0,1.044718623161316
17,1.2979000806808472,1.4142135381698608,6.0,2.0,0.5009804248809815,0.30413421114711053,5.8232340812683105,2.0,7.0,1.0654922723770142
18,1.4742623567581177,1.5811388492584229,8.0,4.0,0.45563693046569825,0.23713041103192548,14.980340957641602,4.0,7.0,1.144300937652588
19,1.3069238662719727,1.5811388492584229,10.0,12.0,0.5072842597961426,0.3320092804004411,7.934443950653076,12.0,7.0,1.1997169256210327
20,1.6085644960403442,2.8284270763397217,10.0,10.0,0.47077436447143556,0.44304386016910335,3.6961796283721924,10.0,6.0,1.2451006174087524
21,1.58689284324646,0.7071067690849304,0.0,4.0,0.5121167659759521,0.0,9.905322074890137,4.0,7.0,1.4362891912460327
22,2.05475115776062,1.4142135381698608,6.0,6.0,0.3934097051620483,0.17707407086831456,12.0501127243042,6.0,9.0,1.4912033081054688
23,2.0586957931518555,2.345207929611206,8.0,8.0,0.3996403217315674,0.3016889584631893,9.826343536376953,8.0,7.0,1.377834439277649
24,1.4129409790039062,1.5811388492584229,4.0,6.0,0.46041364669799806,0.24658999642082446,7.965630054473877,6.0,7.0,1.4123300313949585
25,2.1725776195526123,1.5811388492584229,8.0,4.0,0.31874082088470457,0.3085176771015379,7.66145658493042,4.0,6.0,1.2429027557373047
26,1.7039541006088257,2.0,8.0,4.0,0.40220255851745607,0.4154029258954179,6.712104797363281,4.0,8.0,1.185331106185913
27,2.244354248046875,1.5811388492584229,2.0,6.0,0.36717212200164795,0.05439356571258301,7.139399528503418,6.0,9.0,1.3672953844070435
28,1.6781553030014038,1.8708287477493286,8.0,2.0,0.42281489372253417,0.29784035610935705,13.009428024291992,2.0,7.0,1.3507109880447388
29,1.604421854019165,1.2247449159622192,4.0,2.0,0.5274946212768554,0.10476750581797721,10.818790435791016,2.0,9.0,1.4960155487060547
30,1.9829387664794922,2.345207929611206,12.0,10.0,0.3266899108886719,0.3137194039140723,12.06289291381836,10.0,8.0,1.3951911926269531
31,2.11895489692688,1.8708287477493286,12.0,10.0,0.40803956985473633,0.406489837171992,9.553862571716309,10.0,9.0,1.5221226215362549
32,1.0631662607192993,2.2360680103302,10.0,4.0,0.539829158782959,0.385389639836249,10.340310096740723,4.0,10.0,1.667481780052185
33,1.5690295696258545,2.1213202476501465,10.0,4.0,0.451351261138916,0.5395226743172983,4.579286575317383,4.0,8.0,1.7286463975906372
34,1.7298238277435303,1.4142135381698608,10.0,2.0,0.43870930671691893,0.28080408713610644,7.79757833480835,2.0,6.0,1.9651460647583008
35,1.5761845111846924,1.0,8.0,0.0,0.3907346725463867,0.27218834923946783,13.472908973693848,0.0,9.0,1.902316927909851
36,1.9993000030517578,2.345207929611206,16.0,4.0,0.34700679779052734,0.5505733911088604,5.457232475280762,4.0,9.0,1.7663527727127075
37,1.547309398651123,2.0,10.0,8.0,0.44565858840942385,0.3169996312806887,10.134678840637207,8.0,7.0,1.676005244255066
38,1.9263827800750732,1.2247449159622192,6.0,4.0,0.41861448287963865,0.12987154455890562,11.472466468811035,4.0,7.0,1.7338318824768066
39,1.535675287246704,1.5811388492584229,8.0,2.0,0.47167048454284666,0.3107959303320477,8.438630104064941,2.0,6.0,1.835071325302124
40,1.7894827127456665,1.8708287477493286,6.0,8.0,0.41562705039978026,0.20422530162238023,5.768866062164307,8.0,5.0,1.777754306793213
41,1.3982386589050293,2.1213202476501465,10.0,0.0,0.40309791564941405,0.3873809678164329,9.615802764892578,0.0,6.0,1.791407823562622
42,1.8325414657592773,1.7320507764816284,6.0,8.0,0.3279422760009766,0.21577922402517608,11.475472450256348,8.0,8.0,1.7971655130386353
43,1.8513338565826416,2.345207929611206,14.0,8.0,0.33515875339508056,0.5304117615476546,6.305895805358887,8.0,9.0,1.7831768989562988
