seed,configuration,search_mode,iterations,memory_retention,theta_retention,regime_block,regime,mean_energy,final_energy,mean_kappa_norm,final_kappa_norm
42,Static Energy,guided_sa,3,1.0,0.5,0,0,0.8854304015636444,0.7064366936683655,0.0,0.0
42,Static Energy,guided_sa,3,1.0,0.5,1,1,0.756571763753891,0.6529381275177002,0.0,0.0
42,Static Energy,guided_sa,3,1.0,0.5,2,0,0.7949488461017609,0.690934956073761,0.0,0.0
42,Static Energy,guided_sa,3,1.0,0.5,3,1,0.8056118130683899,0.7591691017150879,0.0,0.0
42,EBMAO (kappa-only),guided_sa,3,1.0,0.5,0,0,0.8895838975906372,0.7289421558380127,1.0256435245275497,1.3938206434249878
42,EBMAO (kappa-only),guided_sa,3,1.0,0.5,1,1,0.8624220967292786,0.8208088874816895,2.323553276062012,3.2538180351257324
42,EBMAO (kappa-only),guided_sa,3,1.0,0.5,2,0,0.776041567325592,0.7121303081512451,2.7902177810668944,2.724806070327759
42,EBMAO (kappa-only),guided_sa,3,1.0,0.5,3,1,0.7273696303367615,0.747482419013977,3.2135183334350588,3.5420007705688477
42,EBMAO (theta-only),guided_sa,3,1.0,0.5,0,0,0.885520476102829,0.7208132147789001,0.0,0.0
42,EBMAO (theta-only),guided_sa,3,1.0,0.5,1,1,0.7729565799236298,0.7492475509643555,0.0,0.0
42,EBMAO (theta-only),guided_sa,3,1.0,0.5,2,0,0.7842413127422333,0.6941567063331604,0.0,0.0
42,EBMAO (theta-only),guided_sa,3,1.0,0.5,3,1,0.7642378747463227,0.7318494915962219,0.0,0.0
42,Full EBMAO,guided_sa,3,1.0,0.5,0,0,0.8752168178558349,0.6799251437187195,1.0743396133184433,1.5076652765274048
42,Full EBMAO,guided_sa,3,1.0,0.5,1,1,0.755663377046585,0.7649329900741577,2.3905603885650635,3.246739387512207
42,Full EBMAO,guided_sa,3,1.0,0.5,2,0,0.7960040152072907,0.7318891286849976,2.7679254055023192,2.729854106903076
42,Full EBMAO,guided_sa,3,1.0,0.5,3,1,0.6897235691547394,0.6180922389030457,3.2694406509399414,3.588693380355835
43,Static Energy,guided_sa,3,1.0,0.5,0,0,1.2718403577804565,1.0565369129180908,0.0,0.0
43,Static Energy,guided_sa,3,1.0,0.5,1,1,1.331985080242157,1.2651439905166626,0.0,0.0
43,Static Energy,guided_sa,3,1.0,0.5,2,0,0.9963831245899201,0.986869215965271,0.0,0.0
43,Static Energy,guided_sa,3,1.0,0.5,3,1,1.273403000831604,1.2666512727737427,0.0,0.0
43,EBMAO (kappa-only),guided_sa,3,1.0,0.5,0,0,1.2454685926437379,1.003589153289795,1.5823079586029052,2.174607276916504
43,EBMAO (kappa-only),guided_sa,3,1.0,0.5,1,1,1.3726137042045594,1.220212459564209,3.0274271249771116,4.054014682769775
