configuration,metric,n_seeds,reference_mean,comparison_mean,mean_delta,std_delta,ci_low,ci_high,paired_t_stat,paired_t_p_value,wilcoxon_p_value,cohen_dz,tradeoff_supported
EBMAO (kappa-only),internal_energy,3,1.2789135227600734,1.1734196518858273,-0.10549387087424596,0.0544124007663061,-0.24066176760469948,0.029674025856207584,-3.3580717201960164,0.0783929574281675,0.25,-1.9387836116132398,False
EBMAO (kappa-only),absolute_gap,3,0.22564935187498728,0.17765703548987707,-0.04799231638511022,0.0826785629783334,-0.2533772526329129,0.15739261986269246,-1.0054012474033307,0.4205763973991715,0.5,-0.5804686808318984,False
EBMAO (theta-only),internal_energy,3,1.2789135227600734,1.2990929720302422,0.02017944927016894,0.13580184307468876,-0.3171710304368658,0.3575299289772037,0.25737376322255345,0.8209502336845281,0.75,0.14859481147888826,False
EBMAO (theta-only),absolute_gap,3,0.22564935187498728,0.2079925686120987,-0.01765678326288859,0.11940378445014194,-0.31427222714119385,0.27895866061541663,-0.25612626811108136,0.8217904640715159,1.0,-0.1478745698404671,False
Full EBMAO,internal_energy,3,1.2789135227600734,1.2121523171663284,-0.06676120559374492,0.14123535888352934,-0.4176092868289122,0.2840868756414223,-0.8187312368305439,0.49897472185597097,1.0,-0.47269469997806984,False
Full EBMAO,absolute_gap,3,0.22564935187498728,0.1734216809272766,-0.05222767094771067,0.1761818265256582,-0.48988759034515283,0.38543224844973145,-0.5134523885143715,0.6587307672257787,1.0,-0.2964418747248287,False
